deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Set 2","Everyday objects","What prevents microwaves from escaping through an oven door's viewing window?","Tinted glass","A grounded metal mesh","A vacuum layer","A magnetic film","A grounded metal mesh","The perforated metal screen blocks microwave wavelengths while its smaller holes pass visible light.","https://www.fda.gov/radiation-emitting-products/resources-you-radiation-emitting-products/microwave-oven-radiation"
"Set 2","Everyday objects","What kind of machine was the QWERTY keyboard layout developed for?","A telegraph","A typewriter","A player piano","A printing press","A typewriter","Christopher Latham Sholes developed QWERTY for his early practical typewriter.","https://americanhistory.si.edu/collections/object/nmah_850125"
"Set 2","Art & history","The Bayeux Tapestry is technically what kind of textile?","A woven tapestry","An embroidery","A printed linen","A knotted carpet","An embroidery","Its scenes are stitched in wool thread onto linen, making it an embroidery rather than a true tapestry.","https://www.bayeuxmuseum.com/en/the-bayeux-tapestry/discover-the-bayeux-tapestry/"
"Set 2","Art & history","George Washington's dentures were never made from which commonly claimed material?","Ivory","Human teeth","Metal","Wood","Wood","Washington's dentures used materials including ivory, metal, and human or animal teeth, but not wood.","https://www.mountvernon.org/george-washington/health/washingtons-teeth"
"Set 2","Art & history","Ancient Tyrian purple dye came mainly from what animals?","Beetles","Sea snails","Squid","Coral polyps","Sea snails","Mediterranean craftspeople extracted Tyrian purple from secretions of predatory murex sea snails.","https://www.metmuseum.org/toah/hd/typu/hd_typu.htm"
"Set 2","Art & history","What covered the Great Pyramid's rough core when it was new?","Painted brick","Smooth white limestone","Polished granite","Glazed blue tile","Smooth white limestone","Smooth white Tura limestone casing blocks originally covered the pyramid's core masonry.","https://www.britannica.com/topic/Pyramids-of-Giza"
"Set 2","Art & history","Where is the sling on Michelangelo's David?","Across his back and left hand","Around his waist","At his right ankle","Under his left foot","Across his back and left hand","David holds the sling over his left shoulder and down through his left hand.","https://www.galleriaaccademiafirenze.it/en/artworks/david-michelangelo/"
"Set 2","Art & history","How tall was Napoleon Bonaparte according to a French medical measurement at his death?","About 5 ft 2 in","About 5 ft 6 in","About 5 ft 10 in","About 6 ft 1 in","About 5 ft 6 in","Converting the old French measurement puts Napoleon near 5 feet 6 inches in modern British units.","https://www.britannica.com/story/was-napoleon-short"
"Set 2","Art & history","The Liberty Bell's visible crack grew beyond repair during what event?","The signing of the Declaration","A Washington birthday observance","The Civil War","The Centennial Exposition","A Washington birthday observance","The bell's final major crack widened while it rang for Washington's birthday in 1846.","https://www.nps.gov/inde/learn/historyculture/stories-libertybell.htm"
"Set 3","Media & music","What is the figure on an Academy Award statuette holding?","A scroll","A sword","A torch","A film reel","A sword","The statuette depicts a knight holding a crusader sword while standing on a film reel.","https://www.oscars.org/oscars/statuette"
"Set 3","Media & music","At the 1939 Academy Awards, how was Walt Disney honored for Snow White and the Seven Dwarfs?","With one full-size statuette","With one full-size and seven miniature statuettes","With seven full-size statuettes","With a painted plaque","With one full-size and seven miniature statuettes","Shirley Temple presented Disney with one standard Oscar accompanied by seven miniature statuettes.","https://www.oscars.org/oscars/ceremonies/1939"
"Set 3","Media & music","Which member of Queen wrote ""Another One Bites the Dust""?","Freddie Mercury","Brian May","Roger Taylor","John Deacon","John Deacon","Queen bassist John Deacon wrote the song and its famous bass line.","https://www.queenonline.com/news/on-this-day-another-one-bites-the-dust-released-in-the-usa"
"Set 3","Media & music","The THX cinema sound heard before films is officially called what?","Deep Note","Big Screen","Sound Wave","Silver Chord","Deep Note","THX calls its swelling audio trademark the Deep Note.","https://www.thx.com/deepnote/"
"Set 3","Media & music","Which instrument plays the opening solo in George Gershwin's ""Rhapsody in Blue""?","Trumpet","Clarinet","Violin","Saxophone","Clarinet","The work opens with a clarinet trill that climbs into a long glissando.","https://www.loc.gov/item/ihas.200156439/"
"Set 3","Media & music","What was Mickey Mouse's first spoken phrase in a cartoon?","Hot dogs!","Oh boy!","Gosh!","Hiya, folks!","Hot dogs!","Mickey first spoke in The Karnival Kid, where his first words were ""Hot dogs!""","https://d23.com/mickeys-hot-performance/"
"Set 3","Media & music","Which singer wrote the Dolly Parton hit ""I Will Always Love You""?","Whitney Houston","Linda Ronstadt","Dolly Parton","Emmylou Harris","Dolly Parton","Dolly Parton wrote and first recorded the song years before Whitney Houston's version.","https://www.loc.gov/static/programs/national-recording-preservation-board/documents/IWillAlwaysLoveYou.pdf"
"Set 3","Media & music","On Sesame Street, what is the Count's full title and name?","Count Dracula","Count von Count","Count Numberton","Count Sesame","Count von Count","The number-loving vampire Muppet is formally named Count von Count.","https://sesameworkshop.org/our-work/shows/sesame-street/sesame-street-characters/count-von-count/"
"Set 3","Media & music","Which film introduced the song ""When You Wish Upon a Star""?","Dumbo","Fantasia","Pinocchio","Bambi","Pinocchio","Jiminy Cricket sings the song at the beginning of Disney's Pinocchio.","https://www.loc.gov/static/programs/national-film-preservation-board/documents/pinocchio.pdf"
"Set 3","Sports & rules","How many strikes are rolled in a perfect ten-pin bowling game?","10","11","12","13","12","A 300 game needs strikes in all ten frames plus two bonus deliveries in the tenth.","https://bowl.com/welcome/understanding-bowling"
"Set 3","Sports & rules","May a chess king legally move onto a square attacked by an opponent?","Yes, if it captures","Yes, once per game","No","Only when castling","No","A king may not move onto an attacked square because that would leave it in check.","https://handbook.fide.com/chapter/E012023"
"Set 3","Sports & rules","How many points is a try worth in rugby union before any conversion?","Three","Four","Five","Six","Five","World Rugby awards five points for grounding the ball for a try.","https://www.world.rugby/the-game/laws/law/8"
"Set 3","Sports & rules","In baseball, a fly ball that strikes a foul pole is ruled what?","A foul ball","A ground-rule double","A home run","A dead-ball strike","A home run","The foul poles stand in fair territory, so a fair fly striking one above the fence is a home run.","https://www.mlb.com/glossary/rules/foul-pole"
"Set 3","Sports & rules","In boxing, where must the standing boxer wait during a knockdown count?","Their own corner","A neutral corner","The center logo","Behind the referee","A neutral corner","The boxer who scored the knockdown must go to the farthest neutral corner during the count.","https://assets.contentstack.io/v3/assets/blteb7d012fc7ebef7f/bltb62c274469ad6a21/6875895c011d632fd770658b/2025_USA_Boxing_Official_s_Manual_7.14.2025.pdf"
"Set 3","Sports & rules","In table tennis, what happens when an otherwise legal serve clips the net and lands correctly?","Server loses the point","Receiver loses the point","The serve is replayed","Play continues","The serve is replayed","That serve is a let, so no point is scored and the service is taken again.","https://documents.ittf.sport/sites/default/files/public/2025-02/2025_ITTF_Statutes_clean_version.pdf"
"Set 3","Sports & rules","After a touchdown in American football, how far is a successful kick worth?","One point","Two points","Three points","Six points","One point","The kick try after a touchdown scores one additional point.","https://operations.nfl.com/the-rules/nfl-rulebook/#rule11"
"Set 3","Sports & rules","In Formula 1, what does a black flag with an orange circle tell a driver?","Rain has begun","A faster car is behind","The car has a mechanical problem","The race is stopped","The car has a mechanical problem","The black-and-orange flag warns that a car has a mechanical problem likely to endanger others.","https://www.fia.com/sites/default/files/fia_international_sporting_code_2026.pdf"
"Set 3","Sports & rules","In basketball, how many personal fouls disqualify an NBA player?","Four","Five","Six","Seven","Six","An NBA player is disqualified after committing a sixth personal foul.","https://official.nba.com/rule-no-3-players-substitutes-and-coaches/"
"Set 3","Food & kitchen","Which part of a cinnamon tree becomes the familiar spice?","Inner bark","Flower petals","Root hairs","Fruit pulp","Inner bark","Cinnamon is prepared from the dried inner bark of trees in the genus Cinnamomum.","https://www.britannica.com/plant/cinnamon"
"Set 3","Food & kitchen","What gas traditionally creates the holes in Swiss cheese?","Oxygen","Nitrogen","Carbon dioxide","Hydrogen","Carbon dioxide","Bacteria release carbon dioxide during ripening, forming the holes known as eyes.","https://www.britannica.com/topic/Emmentaler"
"Set 3","Food & kitchen","Aquafaba, used as an egg-white substitute, is usually the cooking liquid from what?","Chickpeas","Potatoes","Oats","Almonds","Chickpeas","Aquafaba is the protein- and starch-containing liquid left from cooking chickpeas or found in a can of them.","https://www.britannica.com/topic/aquafaba"
"Set 3","Food & kitchen","Cloves are dried parts of a tree. Which parts?","Leaf tips","Flower buds","Seed coats","Root nodules","Flower buds","Cloves are the dried unopened flower buds of the clove tree.","https://www.britannica.com/plant/clove"
"Set 3","Food & kitchen","Which cocoa component is absent from standard white chocolate?","Cocoa butter","Milk solids","Sugar","Cocoa solids","Cocoa solids","White chocolate uses cocoa butter but contains no nonfat cocoa solids.","https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-163/subpart-B/section-163.124"
"Set 3","Food & kitchen","Brazil nuts develop inside what kind of structure?","A large woody fruit","An underground pod","A flower bulb","A hollow stem","A large woody fruit","A Brazil-nut tree produces a hard, woody fruit that holds numerous seeds arranged inside.","https://www.britannica.com/plant/Brazil-nut"
"Set 3","Food & kitchen","Tahini is a paste made chiefly from which seeds?","Poppy","Sesame","Sunflower","Fennel","Sesame","Tahini is made by grinding sesame seeds into a smooth paste.","https://www.britannica.com/topic/tahini"
"Set 3","Food & kitchen","Which part of broccoli do people mainly eat?","Unopened flower buds and stems","Roots and bulbs","Fruit and seeds","Leaf stalks only","Unopened flower buds and stems","A broccoli head is a cluster of immature flower buds carried on branching stems.","https://www.britannica.com/plant/broccoli"
